what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312738978605
processors,sysinfo,,,"2",1312738978605
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312738978605
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312738978605
java.specification.name,sysinfo,,,"Java Platform API Specification",1312738978605
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738978605
java.specification.version,sysinfo,,,"1.6",1312738978605
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738978605
java.version,sysinfo,,,"1.6.0_19",1312738978605
java.vm.info,sysinfo,,,"mixed mode, sharing",1312738978605
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312738978605
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312738978605
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738978605
java.vm.specification.version,sysinfo,,,"1.0",1312738978605
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312738978605
java.vm.version,sysinfo,,,"16.2-b04",1312738978605
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738987375
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312738990376
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739005700
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739007162
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739007825
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739007965
