what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1309952248618
processors,sysinfo,,,"2",1309952248618
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1309952248618
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1309952248618
java.specification.name,sysinfo,,,"Java Platform API Specification",1309952248618
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309952248618
java.specification.version,sysinfo,,,"1.6",1309952248618
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1309952248618
java.version,sysinfo,,,"1.6.0_19",1309952248618
java.vm.info,sysinfo,,,"mixed mode, sharing",1309952248618
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1309952248618
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1309952248618
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1309952248618
java.vm.specification.version,sysinfo,,,"1.0",1309952248618
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1309952248618
java.vm.version,sysinfo,,,"16.2-b04",1309952248618
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952257903
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952260647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952261957
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952264224
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952265437
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1309952265519
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1309952265797
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1309952265797
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1309952265797
