what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312739189799
processors,sysinfo,,,"2",1312739189799
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312739189799
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312739189799
java.specification.name,sysinfo,,,"Java Platform API Specification",1312739189799
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739189799
java.specification.version,sysinfo,,,"1.6",1312739189799
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739189799
java.version,sysinfo,,,"1.6.0_19",1312739189799
java.vm.info,sysinfo,,,"mixed mode, sharing",1312739189799
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312739189799
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312739189799
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739189799
java.vm.specification.version,sysinfo,,,"1.0",1312739189799
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312739189799
java.vm.version,sysinfo,,,"16.2-b04",1312739189799
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739198444
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739199516
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739200464
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312739200629
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1312739201116
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1312739201119
