what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1313576830274
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313576830274
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1313576830274
java.specification.name,sysinfo,,,"Java Platform API Specification",1313576830274
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313576830274
java.specification.version,sysinfo,,,"1.6",1313576830274
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313576830274
java.version,sysinfo,,,"1.6.0_19",1313576830274
java.vm.info,sysinfo,,,"mixed mode, sharing",1313576830274
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313576830274
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313576830274
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313576830274
java.vm.specification.version,sysinfo,,,"1.0",1313576830274
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313576830274
java.vm.version,sysinfo,,,"16.2-b04",1313576830274
started,bundle,CE,1.0.0.qualifier,"CE",1313576831647
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313576832021
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313576879666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313576880852
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313576881538
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313576881647
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1313576882084
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1313576882084
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1313576882084
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1313576882084
