what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"de_DE",1312925110429
processors,sysinfo,,,"2",1312925110429
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312925110429
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312925110429
java.specification.name,sysinfo,,,"Java Platform API Specification",1312925110429
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312925110429
java.specification.version,sysinfo,,,"1.6",1312925110429
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312925110429
java.version,sysinfo,,,"1.6.0_19",1312925110429
java.vm.info,sysinfo,,,"mixed mode, sharing",1312925110429
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312925110429
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312925110429
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312925110429
java.vm.specification.version,sysinfo,,,"1.0",1312925110429
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312925110429
java.vm.version,sysinfo,,,"16.2-b04",1312925110429
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925114002
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925150148
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925153081
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925155047
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925194066
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925194128
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925197654
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925273408
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312925275639
