what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1312969185399
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312969185399
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312969185402
java.specification.name,sysinfo,,,"Java Platform API Specification",1312969185402
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312969185402
java.specification.version,sysinfo,,,"1.6",1312969185402
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312969185402
java.version,sysinfo,,,"1.6.0_19",1312969185402
java.vm.info,sysinfo,,,"mixed mode, sharing",1312969185402
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312969185402
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312969185402
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312969185402
java.vm.specification.version,sysinfo,,,"1.0",1312969185402
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312969185402
java.vm.version,sysinfo,,,"16.2-b04",1312969185402
started,bundle,CE,1.0.0.qualifier,"CE",1312969185674
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969188466
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969226857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969226872
stopped,bundle,CE,1.0.0.qualifier,"CE",1312969226931
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969229908
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969231999
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969289409
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969290886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312969291861
