what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1313851207660
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1313851207660
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1313851207660
java.specification.name,sysinfo,,,"Java Platform API Specification",1313851207660
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313851207660
java.specification.version,sysinfo,,,"1.6",1313851207660
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1313851207660
java.version,sysinfo,,,"1.6.0_19",1313851207660
java.vm.info,sysinfo,,,"mixed mode, sharing",1313851207660
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1313851207660
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1313851207660
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1313851207660
java.vm.specification.version,sysinfo,,,"1.0",1313851207660
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1313851207660
java.vm.version,sysinfo,,,"16.2-b04",1313851207660
started,bundle,CE,1.0.0.qualifier,"CE",1313851209713
error,log,,,"Unhandled event loop exception",1313851210326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851221677
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851226954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851228412
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851229052
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851231454
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851232527
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1313851232609
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,"org.eclipse.jst.j2ee.xdoclet.runtime",1313851233132
