what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1312732379037
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312732379037
java.runtime.version,sysinfo,,,"1.6.0_19-b04",1312732379037
java.specification.name,sysinfo,,,"Java Platform API Specification",1312732379037
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312732379037
java.specification.version,sysinfo,,,"1.6",1312732379037
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312732379037
java.version,sysinfo,,,"1.6.0_19",1312732379037
java.vm.info,sysinfo,,,"mixed mode, sharing",1312732379037
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312732379037
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312732379037
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312732379037
java.vm.specification.version,sysinfo,,,"1.0",1312732379037
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312732379037
java.vm.version,sysinfo,,,"16.2-b04",1312732379037
started,bundle,CE,1.0.0.qualifier,"CE",1312732379053
error,log,,,"Unhandled event loop exception",1312732381603
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312732384479
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312732385680
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1312732385821
